ID,village_ID,group_in_village,bags,payrate,showup,grouptype,training,pilot,assistant,comm_subj,comm_group,leftsetup,village_name,commune_name,date,gender,age,ethnic,income,occupation,education,item_moto,item_phone,item_TV,item_fridge,item_stove,children,bagsbefore,difficulty,likeability,minsbreak,chat,chat_pay,know_pay,fair,fair_why,fair_why_code1,fair_why_code2,forest_worry,forest_important,protect,people_logging,people_hunting,vignette1,vignette2,vignette3,vignette4
1,1,1,168,1000,20000,equal,11,yes,NA,(no comment),(no comment),no,8,Huong Hoa,24.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1,89,1000,20000,equal,7,yes,NA,(no comment),(no comment),no,8,Huong Hoa,24.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,1,100,1000,20000,equal,8,yes,NA,(no comment),(no comment),no,8,Huong Hoa,24.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,1,108,1000,20000,equal,10,yes,NA,(no comment),(no comment),no,8,Huong Hoa,24.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,1,NA,1000,20000,equal,NA,yes,NA,drunk and left experiment,(no comment),yes,8,Huong Hoa,24.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,1,105,1000,20000,equal,11,yes,NA,(no comment),(no comment),no,8,Huong Hoa,24.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,1,111,1000,20000,equal,8,yes,NA,(no comment),(no comment),no,8,Huong Hoa,24.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,2,87,1000,20000,equal,9,yes,NA,(no comment),Soil went empty,no,8,Huong Hoa,24.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,2,90,1000,20000,equal,8,yes,NA,(no comment),(no comment),no,8,Huong Hoa,24.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,2,120,1000,20000,equal,20,yes,NA,(no comment),(no comment),no,8,Huong Hoa,24.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,2,141,1000,20000,equal,18,yes,NA,(no comment),(no comment),no,8,Huong Hoa,24.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,2,144,1000,20000,equal,12,yes,NA,(no comment),(no comment),no,8,Huong Hoa,24.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,2,101,1000,20000,equal,14,yes,NA,(no comment),(no comment),no,8,Huong Hoa,24.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,2,81,1000,20000,equal,15,yes,NA,(no comment),(no comment),no,8,Huong Hoa,24.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2,1,93,600,30000,equal,9,no,Tam,(no comment),Every participant did not talk too much and just focused on working,no,Cha Mang,Thuong Lo,26.03.2019,f,32,Catu,4.00E+05,(translation missing),12,yes,no,yes,no,no,1,no,5,1,2,no,no,yes,1,Good pay rate,5,NA,5,5,no,yes,no,a,b,a,b
16,2,1,80,600,30000,equal,9,no,Tam,(no comment),(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,32,Catu,2.00E+06,(translation missing),12,yes,yes,yes,yes,yes,2,yes,5,3,5,yes,no,yes,1,Because the real effort to make a soil bag was not much,9,NA,5,5,yes,no,no,a,a,a,b
17,2,1,80,600,30000,equal,5,no,Tam,(no comment),(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,33,Catu,0,(translation missing),11,yes,yes,yes,no,no,2,yes,5,1,0,yes,no,yes,1,It was pleasant to work together in a group,10,NA,5,5,yes,yes,yes,a,a,a,b
18,2,1,120,600,30000,equal,13,no,Tam,"had snacks after 21 minutes, and took a break in 3 minutes; produced soil bag very well because she owns her acacia plantation",(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,43,Catu,1.00E+06,agriculture,0,yes,yes,yes,yes,yes,3,yes,5,1,7,yes,no,yes,2,It should be paid 1000 VND as the payment of Department of Agriculture,6,NA,5,5,yes,no,no,a,a,b,b
19,2,1,60,600,30000,equal,7,no,Tam,"produced soil bag slowly because she had to take care her child; At the 40 minute, her husband came in a minute to hurry her to finish; At the 50 minute, she stopped producing soil bag to take care her child",(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,29,Catu,1500000,(translation missing),8,yes,yes,yes,no,no,3,no,5,2,20,yes,yes,yes,1,NA,NA,NA,3,3,no,no,no,a,b,a,b
20,2,1,95,600,30000,equal,9,no,Tam,took 5 minutes to have snacks and invite the others to take a break and enjoy snacks because water and snacks will be taken after 60 minutes,(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,42,Catu,5.00E+05,agriculture,0,no,yes,yes,no,no,2,yes,5,2,10,yes,no,yes,4,600 VND/piece was too low. It should be 1000 VND/piece because it was already paid 500 VND/piece in the past,6,NA,5,5,yes,no,no,b,b,a,b
21,2,1,80,600,30000,equal,6,no,Tam,(no comment),(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,23,Catu,0,(translation missing),6,yes,yes,yes,no,yes,2,no,3,1,0,yes,no,no,1,Because that pay rate was high,5,NA,4,5,no,no,no,a,b,a,b
22,2,1,100,600,30000,equal,12,no,Tam,(no comment),(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,40,Catu,1.00E+06,agriculture,0,yes,yes,yes,no,no,0,yes,5,2,6,yes,no,yes,2,600 VND/piece was reasonable (satisfied),5,NA,5,5,no,no,no,b,b,a,a
23,2,2,105,400,30000,equal,8,no,Nam,(no comment),The first snacks are taken after 20 minutes; One participant went to the restroom after 45 minutes; One participant produced quickly because he/she had done it before,no,Cha Mang,Thuong Lo,26.03.2019,f,37,Catu,7.00E+06,agriculture,11,yes,yes,yes,yes,yes,2,no,4,1,5,yes,yes,yes,3,NA,NA,NA,5,5,yes,no,yes,b,b,a,b
24,2,2,80,400,30000,equal,11,no,Nam,(no comment),(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,57,Catu,4.00E+05,agriculture,3,yes,yes,yes,no,no,0,yes,4,1,2,no,no,no,4,The pay rate was still low,6,NA,5,5,no,no,no,a,a,b,b
25,2,2,100,400,30000,equal,9,no,Nam,(no comment),(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,29,Catu,2.00E+06,agriculture,12,yes,yes,yes,no,no,1,no,4,2,5,yes,no,yes,2,NA,NA,NA,5,5,no,no,no,b,b,a,b
26,2,2,75,400,30000,equal,7,no,Nam,produced slowly because he/she is old,(no comment),no,Cha Mang,Thuong Lo,26.03.2019,m,72,Catu,5.00E+05,agriculture,7,no,yes,yes,yes,yes,0,no,1,1,3,yes,no,no,2,Because depending on individual health,12,NA,5,5,yes,no,no,a,b,a,b
27,2,2,120,400,30000,equal,12,no,Nam,(no comment),(no comment),no,Cha Mang,Thuong Lo,26.03.2019,m,66,Catu,7.00E+05,(translation missing),2,no,yes,yes,no,no,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,yes,no,no,b,b,a,b
28,2,2,100,400,30000,equal,8,no,Nam,(no comment),(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,36,Catu,2.00E+06,agriculture,9,yes,yes,yes,no,no,2,yes,4,1,3,yes,yes,yes,2,NA,NA,NA,5,5,yes,no,no,a,a,a,b
29,2,2,120,400,30000,equal,14,no,Nam,(no comment),(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,27,Catu,2.00E+06,agriculture,8,yes,yes,yes,no,no,2,yes,4,1,3,yes,yes,yes,4,Because other working group gets higher pay rate,2,NA,5,5,no,no,no,a,b,a,a
30,2,2,117,400,30000,equal,9,no,Nam,(no comment),(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,32,Catu,2.00E+06,agriculture,2,yes,yes,yes,no,no,0,yes,4,1,2,yes,no,yes,2,NA,NA,NA,5,5,yes,no,no,a,a,a,b
31,2,3,120,400,30000,inequal,NA,no,Quang,(no comment),The second participant took a break after 34 minutes; Some participants kept packing next soil bags though they have already finished 20 soil bags in small box,no,Cha Mang,Thuong Lo,26.03.2019,m,30,Catu,2.00E+06,(translation missing),12,yes,yes,yes,no,no,2,no,4,2,2,yes,no,yes,2,The pay rate was justifiable as compared to the market price,5,NA,4,5,yes,no,no,a,b,a,b
32,2,3,140,400,30000,inequal,14,no,Quang,produced soil bags quickly,(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,34,Catu,1500000,agriculture,12,yes,yes,yes,yes,yes,2,no,5,2,5,yes,no,yes,2,Depending on real-effort of individual,7,NA,4,4,yes,yes,yes,b,b,a,b
33,2,3,NA,600,30000,inequal,NA,no,Quang,left the activity after 30 minutes,(no comment),yes,Cha Mang,Thuong Lo,26.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2,3,139,600,30000,inequal,12,no,Quang,(no comment),(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,32,Catu,1500000,(translation missing),12,yes,yes,yes,yes,yes,2,yes,5,2,5,yes,yes,yes,2,Depending on the regulation of the project,12,NA,5,5,yes,yes,yes,b,b,a,b
35,2,3,98,400,30000,inequal,7,no,Quang,Took first snacks  after 25 minutes,(no comment),no,Cha Mang,Thuong Lo,26.03.2019,m,51,Catu,1.00E+06,(translation missing),9,yes,yes,yes,no,no,0,no,2,2,1,no,no,yes,5,"Because, within a group, some people may get high pay rate while others get low pay rate. So, there was an unfair feeling",3,NA,5,5,yes,do not know,yes,b,b,a,b
36,2,3,79,400,30000,inequal,7,no,Quang,(no comment),(no comment),no,Cha Mang,Thuong Lo,26.03.2019,m,65,Catu,3.00E+05,(translation missing),5,yes,yes,no,no,no,2,yes,5,1,0,no,no,yes,4,It was unfair because some people may get higher pay rate than the others,3,NA,5,5,yes,no,no,b,b,a,b
